95.018	0.211652
95.0594	0.205506
95.0995	0.21116
95.1417	0.2003
95.1816	0.213489
95.2224	0.209039
95.2633	0.20878
95.304	0.210414
95.3449	0.209697
95.3854	0.21235
95.4264	0.208952
95.4677	0.208477
95.5091	0.207864
95.5497	0.212985
95.5904	0.213449
95.6322	0.207785
95.673	0.213679
95.7137	0.214933
95.7544	0.215897
95.7958	0.213162
95.8369	0.212966
95.8782	0.210701
95.9193	0.209636
95.9598	0.211918
96.0014	0.206729
96.0421	0.21255
96.0835	0.209948
96.1252	0.209037
96.1667	0.210659
96.2076	0.21374
96.2492	0.210991
96.2909	0.211312
96.3318	0.216293
96.3735	0.213791
96.4143	0.219129
96.456	0.212997
96.4976	0.21293
96.5386	0.215546
96.5799	0.213401
96.6219	0.209
96.6637	0.209654
96.7053	0.210554
96.7469	0.211209
96.7877	0.215343
96.83	0.209103
96.8715	0.213859
96.9129	0.214635
96.9546	0.214391
96.9961	0.21642
97.0378	0.216567
97.0798	0.214976
97.1214	0.216837
97.1631	0.215828
97.2049	0.215294
97.2464	0.217341
97.2883	0.215156
97.3299	0.21637
97.3722	0.212244
97.4138	0.215724
97.4559	0.213328
97.4973	0.217
97.5393	0.214213
97.5812	0.215503
97.6225	0.219675
97.6652	0.214018
97.7071	0.218761
97.7489	0.219459
97.7909	0.21782
97.8327	0.218308
97.8743	0.219046
97.9169	0.214462
97.9586	0.219162
98.0006	0.217538
98.0428	0.216865
98.0843	0.21976
98.1272	0.212126
98.1689	0.218468
98.2111	0.217483
98.2525	0.224007
98.2952	0.218191
98.3373	0.221642
98.3795	0.221023
98.4217	0.220485
98.464	0.219396
98.5062	0.220547
98.548	0.222079
98.5905	0.218729
98.6326	0.221437
98.6748	0.22078
98.717	0.219607
98.7595	0.217981
98.8016	0.220688
98.8439	0.220033
98.8867	0.219306
98.9289	0.223607
98.9713	0.223366
99.0136	0.222875
99.0557	0.223995
99.0976	0.225416
99.1409	0.218574
99.1828	0.2255
99.2252	0.223392
99.2683	0.220185
99.3102	0.226707
99.353	0.222362
99.3954	0.224663
99.4386	0.222401
99.481	0.225625
99.5235	0.224497
99.5655	0.225545
99.6085	0.219866
99.6515	0.220375
99.6937	0.225695
99.7363	0.224205
99.779	0.224122
99.8216	0.225921
99.8644	0.224609
99.9069	0.227282
99.9495	0.226592
99.9923	0.22671
100.035	0.23008
100.078	0.224796
100.12	0.231339
100.163	0.225195
100.206	0.226297
100.248	0.228798
100.291	0.22724
100.334	0.222369
100.377	0.222916
100.42	0.221954
100.462	0.228131
100.505	0.226499
100.547	0.23075
100.591	0.224923
100.633	0.228962
100.676	0.229727
100.719	0.227797
100.762	0.230508
100.805	0.230743
100.848	0.22885
100.89	0.233
100.933	0.227816
100.977	0.227136
101.019	0.232002
101.063	0.224154
101.105	0.228253
101.148	0.229144
101.191	0.224873
101.234	0.231791
101.277	0.227749
101.32	0.23355
101.363	0.230236
101.406	0.230086
101.449	0.233211
101.492	0.235387
101.535	0.233788
101.579	0.227994
101.621	0.232522
101.665	0.229819
101.708	0.230254
101.751	0.235146
101.794	0.230455
101.837	0.226929
101.881	0.229634
101.924	0.228658
101.966	0.23403
102.01	0.230213
102.054	0.228561
102.096	0.235377
102.14	0.23437
102.183	0.231703
102.226	0.237104
102.27	0.233033
102.313	0.235013
102.356	0.234688
102.4	0.232317
102.443	0.232047
102.487	0.231381
102.53	0.234093
102.573	0.232255
102.617	0.230238
102.66	0.23128
102.704	0.229487
102.747	0.232266
102.79	0.233338
102.834	0.232747
102.878	0.234742
102.921	0.236707
102.964	0.236971
103.007	0.238226
103.052	0.229981
103.095	0.23742
103.138	0.235664
103.182	0.229549
103.226	0.233694
103.269	0.235975
103.313	0.232083
103.356	0.230394
103.4	0.234094
103.443	0.235876
103.486	0.235607
103.53	0.236026
103.575	0.230937
103.618	0.237249
103.662	0.235924
103.705	0.239672
103.749	0.236094
103.793	0.235633
103.836	0.23486
103.88	0.235898
103.924	0.233162
103.967	0.238226
104.012	0.232294
104.055	0.237629
104.099	0.234894
104.142	0.237936
104.186	0.239187
104.229	0.240963
104.273	0.240875
104.318	0.23459
104.361	0.243436
104.404	0.241411
104.448	0.238317
104.493	0.234747
104.536	0.241002
104.58	0.238912
104.623	0.243603
104.667	0.237766
104.711	0.240927
104.755	0.237567
104.799	0.24
104.842	0.24409
104.886	0.241896
104.93	0.242923
104.973	0.241732
105.018	0.238716
105.062	0.239344
105.106	0.241664
105.149	0.240655
105.194	0.239907
105.237	0.242733
105.282	0.241015
105.325	0.245344
105.369	0.244277
105.413	0.240993
105.457	0.243438
105.502	0.238895
105.546	0.24354
105.589	0.243112
105.633	0.23954
105.677	0.24152
105.721	0.243862
105.766	0.239099
105.809	0.248052
105.854	0.240642
105.898	0.242151
105.941	0.247998
105.986	0.241485
106.03	0.247085
106.074	0.245737
106.118	0.239569
106.163	0.241662
106.207	0.238853
106.251	0.241906
106.295	0.242916
106.339	0.240726
106.383	0.242022
106.427	0.244893
106.471	0.243492
106.515	0.245377
106.559	0.247391
106.604	0.244268
106.649	0.243605
106.693	0.248517
106.737	0.250212
106.781	0.247448
106.825	0.247474
106.869	0.245498
106.913	0.244206
106.958	0.242403
107.002	0.244898
107.047	0.244349
107.091	0.250374
107.135	0.248218
107.179	0.249212
107.224	0.246203
107.268	0.248631
107.312	0.253761
107.357	0.246952
107.401	0.248901
107.445	0.250169
107.49	0.246821
107.534	0.246437
107.579	0.24705
107.623	0.24512
107.668	0.246599
107.711	0.250207
107.756	0.244687
107.801	0.247452
